MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
3.0,8.0,6.0,6.0,4.0,4.0,6.0,2.0,3.0,2.0,5.0,10.0,7.0,4.0,2.0,3.0,4.0,3.0,2.0,6.0,0.45
8.0,4.0,5.0,7.0,7.0,9.0,1.0,5.0,5.0,4.0,6.0,9.0,2.0,6.0,2.0,1.0,1.0,9.0,1.0,3.0,0.475
3.0,10.0,4.0,1.0,7.0,5.0,4.0,7.0,4.0,9.0,2.0,7.0,4.0,4.0,8.0,6.0,1.0,8.0,3.0,6.0,0.515
4.0,4.0,2.0,7.0,3.0,4.0,1.0,4.0,6.0,4.0,9.0,4.0,2.0,6.0,6.0,8.0,8.0,6.0,6.0,10.0,0.52
3.0,7.0,5.0,2.0,5.0,8.0,5.0,2.0,7.0,5.0,7.0,7.0,6.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,0.475
6.0,6.0,6.0,4.0,6.0,4.0,3.0,1.0,3.0,5.0,1.0,10.0,5.0,9.0,5.0,5.0,7.0,3.0,3.0,2.0,0.47
6.0,7.0,4.0,5.0,5.0,5.0,4.0,8.0,8.0,4.0,6.0,8.0,4.0,5.0,4.0,7.0,7.0,5.0,4.0,8.0,0.57
7.0,3.0,5.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,4.0,6.0,9.0,7.0,10.0,6.0,5.0,4.0,5.0,0.585
6.0,3.0,5.0,4.0,5.0,10.5,3.0,2.0,9.0,7.0,8.0,2.0,8.0,7.0,5.0,4.0,9.0,6.0,5.0,7.0,0.58
4.0,3.0,5.0,6.0,2.0,3.0,7.0,7.0,10.0,4.0,5.0,7.0,6.0,5.0,6.0,7.0,5.0,7.0,4.0,8.0,0.555
5.0,1.0,7.0,4.0,5.0,7.0,4.0,3.0,0.0,2.0,6.0,6.0,4.0,8.0,5.0,5.0,7.0,4.0,2.0,6.0,0.455
6.0,9.0,1.0,4.0,3.0,7.0,5.0,8.0,4.0,6.0,5.0,8.0,4.0,3.0,5.0,6.0,4.0,6.0,10.5,3.0,0.555
4.0,9.0,4.0,1.0,5.0,4.0,2.0,8.0,4.0,5.0,4.0,5.0,7.0,7.0,3.0,4.0,2.0,3.0,6.0,3.0,0.45
6.0,3.0,7.0,9.0,7.0,4.0,10.5,7.0,8.0,3.0,1.0,4.0,5.0,4.0,2.0,3.0,4.0,6.0,7.0,4.0,0.525
8.0,1.0,9.0,4.0,6.0,7.0,6.0,3.0,4.0,2.0,8.0,4.0,3.0,2.0,6.0,4.0,5.0,4.0,2.0,8.0,0.48
7.0,2.0,4.0,6.0,5.0,5.0,6.0,6.0,2.0,4.0,5.0,2.0,5.0,3.0,4.0,2.0,8.0,3.0,4.0,5.0,0.44
7.0,4.0,4.0,4.0,10.0,3.0,7.0,2.0,6.0,7.0,5.0,4.0,5.0,2.0,6.0,1.0,3.0,4.0,4.0,5.0,0.465
4.0,7.0,7.0,6.0,5.0,5.0,6.0,6.0,2.0,8.0,6.0,3.0,3.0,4.0,7.0,6.0,4.0,5.0,5.0,7.0,0.53
5.0,2.0,6.0,4.0,5.0,3.0,7.0,3.0,5.0,4.0,9.0,4.0,8.0,5.0,1.0,7.0,3.0,3.0,4.0,6.0,0.47
5.0,6.0,2.0,5.0,2.0,10.5,2.0,4.0,6.0,4.0,3.0,1.0,6.0,1.0,8.0,8.0,4.0,9.0,4.0,6.0,0.485
7.0,9.0,8.0,8.0,7.0,2.0,2.0,5.0,8.0,7.0,6.0,4.0,10.5,7.0,4.0,2.0,6.0,3.0,3.0,1.0,0.55
5.0,8.0,8.0,9.0,8.0,5.0,6.0,3.0,4.0,4.0,6.0,5.0,4.0,4.0,9.0,5.0,10.0,8.0,4.0,6.0,0.605
3.0,6.0,8.0,5.0,6.0,5.0,7.0,6.0,2.0,3.0,6.0,6.0,6.0,2.0,3.0,6.0,2.0,8.0,4.0,5.0,0.495
6.0,10.5,4.0,1.0,5.0,6.0,4.0,2.0,1.0,1.0,6.0,3.0,6.0,6.0,5.0,6.0,5.0,9.0,2.0,7.0,0.48
2.0,1.0,7.0,4.0,7.0,3.0,6.0,4.0,3.0,2.0,7.0,7.0,4.0,8.0,3.0,5.0,9.0,5.0,6.0,4.0,0.485
9.0,4.0,2.0,6.0,4.0,5.0,8.0,6.0,5.0,5.0,4.0,2.0,6.0,3.0,5.0,1.0,6.0,1.0,2.0,5.0,0.445
2.0,5.0,5.0,1.0,5.0,7.0,4.0,7.0,9.0,5.0,6.0,5.0,2.0,5.0,4.0,3.0,6.0,5.0,2.0,6.0,0.47
6.0,10.0,4.0,9.0,5.0,2.0,4.0,3.0,7.0,3.0,7.0,4.0,5.0,4.0,8.0,6.0,6.0,4.0,5.0,8.0,0.55
7.0,2.0,3.0,2.0,3.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,2.0,4.0,2.0,5.0,3.0,10.0,9.0,8.0,0.485
