Factor,Correlation
DeterioratingInfrastructure,0.22944380417137228
TopographyDrainage,0.22941400069175122
RiverManagement,0.2289171168338943
Watersheds,0.22815207476930444
DamsQuality,0.22746693132114676
PopulationScore,0.22692821257803866
Siltation,0.2265436121964606
IneffectiveDisasterPreparedness,0.22512591815177044
PoliticalFactors,0.225009475819596
MonsoonIntensity,0.2240806890567652
WetlandLoss,0.22373160565603642
InadequatePlanning,0.22332945111139285
Landslides,0.22299137035263653
AgriculturalPractices,0.22184605060125737
ClimateChange,0.2209856428607261
Urbanization,0.22086658119466882
Deforestation,0.22023716510931626
Encroachments,0.21825896430370265
DrainageSystems,0.21789459563988584
CoastalVulnerability,0.2151868514208608
